A,B,C,D,E,F,G,H
17,78.11,27,520.32,83.9535,13.2969,-3,-91
13,62.47,39,760.17,50.4843,64.6168,-32,-89
38,161.97,30,580.14,-0.788011,-0.615661,57,66
22,98.43,27,520.07,0.970296,0.241922,54,93
38,162.56,0,-19.73,47.1018,13.5062,-21,-1
32,138.31,7,120.19,43.8812,40.9199,11,-47
27,117.98,33,640.16,-12.3132,-15.7602,-93,-22
2,18.4,3,40,88.6486,66.8014,55,-56
5,30.39,20,380.02,88.4909,66.226,-86,-10
14,66.23,1,0.17,88.4874,66.49902,98,-95
22,98.21,17,320.49,88.17723,66.1064,33,-55
6,34.45,9,160.46,-37.8152,-68.2203,-26,6
22,97.97,17,320.11,-75.7356,-38.5892,50,-71
25,110,5,80.4,-4.58862,-6.55321,4,-2
31,134.16,21,400.25,-55.7252,-27.179,-66,41
33,142.35,30,580.17,25.4442,66.2842,53,-82
1,14.02,23,440.4,-84.591,-24.2561,-36,79
7,37.97,28,540.45,15.4072,7.1845,34,-22
13,62.12,38,740,-18.2709,-8.13473,63,-15
37,158.02,17,319.97,9.98781,19.6021,27,0
21,94.29,20,379.99,-18.8678,-16.4015,-8,-14
2,18.07,29,560.1,66.1478,41.3337,-13,-28
18,82.51,11,200.02,9.45613,7.38793,-58,81
8,42.41,10,180.42,8.35625,9.95857,25,-12
3,22.46,26,500.5,-46.7654,-27,68,-55
32,138.13,24,460.09,-92.5652,-21.3703,55,60
20,90.29,20,380.55,70.0185,26.8776,82,80
35,150.33,25,480.16,-48.2091,-57.4533,6,34
36,154.3,0,-19.52,48.2608,40.4956,18,-36
26,114.08,30,580.33,-6.03768,-5.24847,94,67
36,154.02,17,320.2,-45.5971,-30.7556,92,-48
5,30.21,31,600.32,4.89074,1.03956,-14,-62
14,66.25,7,120.44,7.87846,1.38918,65,35
39,166.44,14,260.46,-33.841,-48.3299,-79,-33
18,82.09,3,40.19,37.5801,57.8682,75,-56
16,74.14,27,520.16,4.30963,5.51607,-19,-83
25,110.06,38,740.2,9.67596,25.2067,26,-66
1,14.08,8,140.43,85.359,10.4808,15,-15
5,30.22,9,160.01,79.4578,55.6369,-73,24
26,114.03,29,560.41,9.25887,14.2574,-32,-63
23,102.34,37,720.31,-50.3424,-80.5645,12,-83
30,130.2,20,380.54,11.9707,32.8892,80,-7
15,70.46,11,200.43,-79.3543,-30.4613,40,72
21,94.05,14,260.32,80.5404,46.5,82,-57
6,34.32,37,720.09,-49.3208,-51.0731,63,56
31,134.3,27,520.26,15.8976,25.4414,85,-16
14,66.09,2,20.19,-15.3209,-12.8557,71,-47
31,134.2,29,560.19,95.8058,15.1741,-13,-64
31,134.53,20,380.3,89.3973,25.6343,-21,7
4,26.43,20,380.07,-54.8688,-60.9378,93,-76
35,150.26,37,720.19,-57.2879,-61.4337,67,9
32,138.55,26,500.52,-40.9235,-9.44794,12,90
34,146.36,5,80.14,18.7113,3.29931,25,-62
29,126.18,32,620.45,-14.8845,-51.9081,-8,-97
22,98.34,36,699.97,-12.9031,-1.5843,5,-95
26,114.22,22,420.37,34.7877,25.2747,44,-97
7,38.5,29,560.49,74.6037,14.5015,24,-62
33,142.37,38,740.29,14.7917,31.7208,71,87
39,166.44,8,140.55,53.5531,16.3728,-45,17
19,86.5,32,620.44,20.2058,16.3623,99,-82
22,98.35,6,100.15,-70.9062,-12.5027,-40,5
18,82.48,38,740.33,-83.88,-44.5998,73,-2
37,158.01,8,140.16,92.3068,11.3338,-49,-94
5,30.51,8,140.44,7.46134,5.03273,-46,-42
22,98.06,39,760.49,72.1701,32.1322,50,-75
30,130.32,24,460.38,-53.4923,-66.0574,-58,99
2,18.36,28,540.51,-93.9022,-19.9595,89,10
30,130.48,15,280.49,-35.5877,-88.0824,48,1
25,110.32,0,-19.51,-50.4327,-39.4023,-99,64
22,98.13,21,400.28,12.2578,24.0572,15,-58
4,26.5,13,239.98,-3.17952,-5.08829,55,-45
7,38.14,36,700.42,23.7522,10.5751,-51,-98
29,127.08,34,660.44,-56.422,-17.2499,49,-64
29,127.3,36,700.48,41.7328,57.4402,-13,22
29,127.55,36,700.32,6.77228,8.66811,3,-52
29,127.49,23,440.41,-7.22179,-9.58362,-15,69
11,54.27,28,540.51,-59.1365,-70.476,-41,-61
25,110.48,21,400.24,13.1064,9.17722,-14,-11
2,18.18,11,200.09,26.7924,20.9325,77,76
0,10.56,16,300.33,-60.2218,-66.883,13,54
34,146.44,6,100.4,-51.6043,-63.7259,-42,-13
36,154.54,17,320.22,-1.94059,-0.483843,-100,-62
37,158.27,16,300.41,79.7694,14.0655,83,77
0,10.39,0,-19.46,71.0141,41,-16,97
28,122.32,1,0.49,40.2379,43.1498,-34,7
20,90.37,31,600.24,-6.6574,-2.16312,42,13
39,166.52,10,180.4,33.552,17.8399,-9,38
24,106.23,22,420.36,32.855,52.579,-21,-18
31,134.15,20,380.08,37.7355,32.8029,-32,-89
7,38.36,23,440.48,-9.35496,-21.0115,59,-90
14,66.06,24,460.34,78.2663,58.9778,96,-73
24,106.2,3,40.12,-44.9466,-28.0857,37,45
4,26.4,23,440.47,29.0718,79.8738,-29,59
30,130.56,2,20.13,9.44151,27.42,-80,38
19,86.48,35,680.52,67.884,51.1542,-41,95
32,138.09,14,260.44,29.4032,14.9817,62,70
19,86.27,11,200.05,25.1141,6.72929,15,90
0,10.25,15,280.14,-30.9852,-58.2745,-40,-45
6,34.4,1,0.48,8.26915,28.8378,-37,8
0,10.47,15,279.97,52.8694,15.16,-50,57
36,154.18,31,600.22,-28.6891,-8.77114,-100,-34
39,165.98,38,740.45,7.87271,9.05651,-61,-98
15,70.26,4,60.19,-32.1542,-7.42338,-44,17
31,134.26,30,580.16,68.557,53.5625,62,54
7,38.5,19,360.46,37.4767,37.4766,-77,-73
33,142.47,32,620.17,-48.6348,-5.97159,81,-33
21,93.99,20,380.46,-0.813475,-1.82709,82,19
6,34.08,4,60.11,-30.5971,-12.362,-51,94
3,22.1,7,120.13,10.049,4.4741,-29,91
31,133.98,19,360.46,75.1335,24.4123,3,-73
1,14.03,15,280.15,-2.87736,-2.77863,-90,92
21,94,8,140.11,-7.81366,-22.6924,27,87
9,46.56,12,220.39,17.9649,6.18579,-35,67
9,46.4,34,660.04,-70.8789,-30.0863,-48,-36
4,26.45,39,760.04,-26.8468,-15.5,39,-99
28,122.12,2,20.09,19.8372,54.5022,41,-69
33,142.2,25,480.04,27,46.7654,47,39
31,134.08,26,500.19,-51.7156,-66.1929,32,-48
3,22.06,28,540.31,-0.927054,-2.85317,-2,-10
11,54.05,27,520.36,-35.5568,-5.63164,-74,-32
11,54.27,39,760.52,-10.8156,-33.287,-5,-89
8,42.4,29,560.11,-3.47329,-3.5967,-84,41
1,13.97,12,220.14,61.0649,72.7742,-63,-80
25,109.98,2,20.35,-7.75697,-13.9939,50,-72
15,70.13,5,80.51,-28.1873,-19.0125,9,36
38,162.36,2,20.01,9.91861,27.2511,-69,1
5,30.43,25,480.2,41.0949,26.6873,10,33
23,102.12,23,440.44,-25.5793,-11.3886,6,-14
28,122.49,19,360.37,-48.1041,-26.6645,-81,12
15,70.25,17,320.47,10.8636,26.8883,69,47
30,130.31,34,660.36,-33.9937,-80.0839,-7,-13
21,94.22,10,180.1,-73.2475,-29.5939,-15,-3
3,22.36,32,660.02,-18.7789,-35.3179,-81,89
20,90.43,32,660.54,-24.2254,-57.0713,19,-22
29,126.3,32,660.24,-83.2056,-28.65,-76,-12
3,21.97,36,700.33,21.5473,59.2006,35,-29
37,158.45,0,-19.97,0.961262,0.275637,-71,33
13,62.49,15,280.26,-27.0738,-10.3927,91,44
18,82.04,10,180.43,4.80631,1.37819,-59,30
17,78.24,20,380.21,42.2839,45.3439,69,-69
39,166.45,23,440.42,-39.3817,-54.2041,27,-10
9,46.28,29,560.52,-67.6117,-54.7508,32,-92
29,126.36,32,620.49,-4.79181,-3.61089,36,79
6,34.36,3,40.18,14.0518,15.606,93,13
20,90.47,30,580.37,-42.2955,-12.128,-41,-9
2,18.23,38,740.18,40.4116,32.7246,-57,50
30,130.31,35,680.02,25.0688,72.8049,-33,-39
20,90.01,24,460.56,35.2381,29.5682,-90,-95
11,54.36,22,420.1,-28.6525,-93.7178,-3,-53
38,162.19,33,640.42,22,38.1051,58,62
12,58.2,25,480.42,-6.99696,-3.87847,-48,43
9,46.38,3,40.03,24.2068,40.2868,-51,-89
35,150.31,30,580.27,-52.7983,-4.61925,35,52
6,34.51,38,739.99,10.912,11.7017,-64,-8
16,74.44,12,220.05,-81.7533,-29.7557,38,77
6,34.12,36,700.23,0.951057,0.309017,-100,15
13,62.18,30,580.31,27.0126,94.2036,-61,17
10,50.16,22,420.08,43.2999,49.8108,34,64
10,50.06,4,60.52,76.587,26.371,34,31
2,18.34,12,220.56,-23.3165,-37.3141,50,17
17,78.3,7,120.37,-63.4835,-24.369,-4,34
9,46.02,32,620.35,-6.38909,-4.81452,-66,87
18,82.23,8,140.21,73.2475,29.5939,-93,89
39,166.53,2,20.22,-0.920505,-0.390731,79,-98
15,70.53,24,460.19,22.306,25.6601,55,-57
21,94.32,20,380.15,21.8131,63.3497,14,19
0,10.14,0,-19.75,-10.3366,-3.76222,57,83
35,150.52,31,600.02,-81.8471,-18.8959,-4,-100
22,98.19,1,0.4,9.00864,14.4168,-6,-32
12,58.38,3,40.36,26.8521,2.82227,-86,-35
35,150.29,28,540.21,95.2178,18.5085,-92,93
24,106.56,1,0.3,31.2021,10.7437,72,60
16,74.31,26,500.24,-40.1479,-44.5887,24,-51
31,134.3,27,520.46,-8.50001,-14.7224,0,-18
21,94.09,5,80.11,71.4975,57.8974,-51,-49
28,122.56,26,500.28,-53.5625,-19.4951,-28,79
3,22.3,28,540.47,25.605,4.51485,6,7
38,162.13,15,280.25,42.0012,25.2368,-29,-60
36,154.56,26,500.33,-60.294,-26.8446,59,1
31,134.26,26,500.26,70.1059,34.1929,54,67
32,138.16,38,740.29,22.7505,25.2669,-58,76
9,46.14,36,700.45,38.1478,8.10855,48,-7
